                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0454,                 2.2083,                 1.1933,                0.73493,                0.48612,                0.61094,                0.45345,                0.90177,                 2.2448,                 1.1031,             0.00047104,             0.00047104,             0.00047104
                      2,                 1.0649,                 1.6669,                 1.2068,                  0.685,                0.62786,                0.71101,                0.49751,                0.99608,                 1.8019,                  1.174,             0.00094425,             0.00094425,             0.00094425
                      3,                 1.1405,                 1.6002,                 1.2512,                0.66252,                0.58787,                0.63332,                0.43677,                 1.1153,                 1.6741,                 1.2785,              0.0014143,              0.0014143,              0.0014143
                      4,                 1.1998,                 1.5594,                 1.3113,                0.63731,                0.69079,                0.71218,                0.48817,                 1.0425,                 1.4479,                 1.2301,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.1464,                 1.4239,                 1.2665,                0.69848,                0.71802,                0.73645,                0.52999,                  1.015,                 1.3281,                 1.2009,              0.0014101,              0.0014101,              0.0014101
                      6,                 1.1174,                 1.3394,                 1.2448,                0.73063,                0.74468,                0.75907,                 0.5505,                0.96294,                 1.1674,                 1.1504,              0.0014054,              0.0014054,              0.0014054
                      7,                  1.115,                 1.3079,                 1.2448,                0.66666,                0.70671,                0.68866,                0.49161,                 1.0243,                 1.2012,                 1.1928,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.1059,                 1.2413,                 1.2389,                0.73723,                0.75303,                 0.7833,                0.57381,                0.97198,                 1.0632,                 1.1634,               0.001396,               0.001396,               0.001396
                      9,                 1.0753,                 1.2378,                 1.2284,                0.71216,                0.76188,                0.76864,                0.55898,                 1.0028,                 1.1523,                 1.2108,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.0714,                 1.1857,                 1.2261,                0.72931,                0.81405,                0.78676,                0.56931,                0.96311,                 1.0025,                 1.1393,              0.0013866,              0.0013866,              0.0013866
                     11,                 1.0278,                 1.1353,                 1.2059,                0.74917,                0.80368,                0.82259,                0.61428,                0.91337,                0.94359,                 1.1231,              0.0013818,              0.0013818,              0.0013818
                     12,                 1.0517,                 1.1388,                 1.2085,                0.70478,                0.76398,                0.75811,                0.56289,                0.93389,                 1.0285,                 1.1407,              0.0013771,              0.0013771,              0.0013771
                     13,                 1.0207,                 1.0811,                 1.1898,                0.69295,                0.81042,                0.77765,                0.58366,                0.91231,                0.97009,                 1.1233,              0.0013724,              0.0013724,              0.0013724
                     14,                 0.9941,                 1.0487,                 1.1716,                0.70376,                0.78873,                0.80141,                0.59873,                0.90994,                 0.9976,                 1.1163,              0.0013677,              0.0013677,              0.0013677
                     15,                 1.0195,                  1.062,                 1.1991,                0.73596,                0.78115,                0.79163,                0.60971,                0.87504,                0.96051,                 1.1039,               0.001363,               0.001363,               0.001363
                     16,                 0.9912,                  1.043,                 1.1833,                 0.7499,                0.82577,                0.81559,                0.61997,                0.87959,                0.91667,                 1.1125,              0.0013583,              0.0013583,              0.0013583
                     17,                0.97473,                 1.0393,                 1.1808,                0.75638,                 0.8037,                0.81354,                0.61408,                0.87858,                0.93851,                 1.1095,              0.0013535,              0.0013535,              0.0013535
