                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3651,                 2.5031,                 1.2284,                0.68263,                0.62804,                0.66371,                0.39591,                 1.3036,                 2.0415,                 1.1462,             0.00055273,             0.00055273,             0.00055273
                      2,                 1.4101,                  1.771,                 1.2691,                0.87088,                0.73207,                0.83043,                0.51163,                 1.3049,                 1.3328,                 1.2057,              0.0011029,              0.0011029,              0.0011029
                      3,                 1.4252,                 1.5063,                 1.2942,                0.74961,                0.72248,                0.72023,                0.44173,                 1.3117,                 1.5359,                 1.2368,              0.0016476,              0.0016476,              0.0016476
                      4,                 1.4367,                 1.3546,                 1.2976,                0.81687,                0.68692,                0.75119,                0.46741,                 1.3108,                  1.503,                 1.2758,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.369,                 1.2731,                 1.2581,                0.88298,                0.80228,                0.86867,                0.54235,                 1.2567,                 1.1121,                 1.2132,               0.001634,               0.001634,               0.001634
                      6,                  1.355,                 1.2178,                 1.2445,                0.79354,                0.80489,                0.81177,                0.53098,                 1.1587,                 1.2476,                 1.1558,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.3414,                 1.1615,                 1.2481,                0.90359,                0.75185,                0.86012,                0.55246,                 1.1659,                 1.0588,                 1.1569,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.3222,                 1.1091,                 1.2287,                0.92368,                0.78274,                0.88374,                0.58468,                 1.1524,                0.94443,                 1.1936,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.3005,                 1.0823,                 1.2266,                0.89064,                 0.7996,                0.86827,                0.55665,                 1.1727,                 0.9271,                 1.1514,               0.001601,               0.001601,               0.001601
                     10,                  1.287,                 1.0382,                 1.2057,                0.86948,                0.86376,                0.89204,                0.58713,                 1.1374,                0.91369,                 1.1103,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2572,                 1.0348,                 1.1902,                 0.8548,                0.83473,                0.87088,                0.59582,                 1.1007,                0.94493,                 1.1505,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2854,                 1.0191,                 1.2043,                0.89927,                0.82006,                0.87977,                0.59841,                 1.0743,                0.88506,                 1.0853,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2403,                0.98807,                 1.1803,                0.90517,                0.81259,                0.89056,                0.59525,                 1.0941,                 0.8818,                 1.1454,               0.001568,               0.001568,               0.001568
                     14,                 1.2532,                 0.9706,                 1.1882,                0.87902,                0.84987,                0.88709,                0.58948,                 1.1179,                0.89466,                 1.1286,              0.0015597,              0.0015597,              0.0015597
                     15,                  1.233,                0.96768,                 1.1782,                0.91351,                 0.8263,                0.86961,                0.58956,                 1.1153,                0.89932,                 1.1096,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2204,                0.92893,                  1.179,                0.88779,                0.85977,                0.89283,                 0.6113,                 1.1084,                0.82001,                  1.107,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2109,                  0.891,                 1.1627,                0.92112,                 0.8502,                0.89239,                0.62827,                 1.0623,                 0.7982,                 1.0783,               0.001535,               0.001535,               0.001535
                     18,                 1.1942,                0.88601,                 1.1483,                0.95279,                 0.8254,                0.89281,                0.61568,                 1.0878,                0.84761,                 1.1072,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1996,                0.89268,                 1.1568,                0.86773,                0.83532,                0.89009,                0.61541,                 1.0544,                 0.8335,                 1.0709,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1915,                0.86752,                  1.158,                0.90999,                0.86508,                0.89021,                0.60158,                 1.0867,                 0.8035,                 1.0818,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1898,                0.88614,                  1.157,                 0.8722,                0.86832,                0.89901,                0.62849,                 1.0678,                0.85263,                 1.1332,               0.001502,               0.001502,               0.001502
                     22,                 1.1652,                0.85816,                 1.1376,                0.89036,                0.84392,                0.87998,                0.60214,                 1.0876,                0.79886,                 1.1033,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1867,                0.85877,                 1.1438,                0.92642,                0.81731,                0.89581,                0.61478,                 1.0428,                0.86102,                 1.1009,              0.0014855,              0.0014855,              0.0014855
                     24,                  1.165,                0.83726,                 1.1365,                0.92478,                 0.8409,                0.91198,                0.64399,                 0.9659,                0.73105,                 1.0302,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1773,                0.84624,                 1.1462,                0.93347,                 0.8636,                 0.8937,                0.62206,                 1.0272,                0.78451,                 1.0677,               0.001469,               0.001469,               0.001469
                     26,                 1.1568,                0.83154,                  1.126,                0.94269,                0.81934,                0.90489,                0.61945,                 1.0701,                0.77031,                 1.0934,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.1616,                0.81254,                  1.128,                 0.9321,                0.85317,                0.89252,                0.60966,                 1.0749,                0.78021,                 1.0818,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1385,                0.79848,                  1.127,                0.91129,                0.85203,                0.88885,                0.62641,                 1.0374,                0.84957,                 1.0721,              0.0014442,              0.0014442,              0.0014442
                     29,                  1.142,                0.79474,                 1.1227,                0.94229,                0.87765,                 0.9073,                0.63483,                 1.0365,                0.74302,                 1.0544,               0.001436,               0.001436,               0.001436
                     30,                  1.128,                0.78104,                 1.1157,                 0.8823,                0.85131,                0.90893,                0.62523,                0.98229,                0.77857,                 1.0668,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.1197,                0.76112,                  1.115,                0.91856,                0.85692,                0.91725,                0.63626,                 1.0322,                0.75555,                 1.0636,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.1399,                0.78169,                 1.1309,                0.91377,                0.87708,                0.90877,                0.63644,                 1.0126,                0.77165,                 1.0734,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.1278,                0.75935,                 1.1146,                0.91323,                0.83897,                0.90125,                0.63334,                 1.0186,                0.76424,                 1.0761,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.1149,                0.74703,                 1.1052,                0.93643,                0.86111,                0.90189,                0.64649,                0.99787,                0.74719,                  1.054,              0.0013947,              0.0013947,              0.0013947
                     35,                  1.118,                 0.7457,                 1.1111,                0.93614,                0.89418,                0.90576,                 0.6308,                 1.0191,                0.72189,                 1.0678,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0925,                0.74363,                 1.1084,                0.92451,                0.81481,                0.90559,                0.63931,                 1.0419,                0.77091,                 1.0987,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.1113,                 0.7278,                 1.0999,                 0.8956,                0.87535,                0.91478,                0.64151,                 1.0326,                0.76566,                  1.064,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0881,                0.71167,                 1.0949,                0.92728,                0.87248,                0.91556,                 0.6401,                 1.0076,                0.75559,                 1.0447,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.0861,                0.71665,                 1.0952,                0.94911,                0.86047,                0.91187,                 0.6658,                 1.0155,                0.76384,                 1.0485,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.0975,                 0.7315,                 1.1017,                0.90571,                0.85563,                0.90231,                0.63484,                0.98568,                0.75719,                 1.0587,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.0791,                0.71254,                  1.091,                0.91958,                0.87562,                 0.8956,                0.64879,                0.96793,                0.74646,                 1.0124,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0841,                0.71636,                 1.0945,                 0.9153,                0.86592,                0.90155,                0.64394,                  1.011,                0.72299,                 1.0834,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0925,                0.72253,                 1.1024,                0.93796,                 0.8705,                0.91346,                 0.6527,                 1.0112,                0.70485,                 1.0796,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.0785,                0.71231,                 1.0962,                0.90954,                0.89762,                0.90448,                0.64596,                 1.0192,                0.74418,                 1.0489,              0.0013122,              0.0013122,              0.0013122
                     45,                  1.081,                0.70622,                  1.092,                0.95024,                0.85892,                0.91307,                0.65767,                0.95473,                  0.709,                 1.0385,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0727,                0.69823,                 1.0835,                0.91583,                0.87235,                0.90981,                0.64954,                 1.0041,                0.77349,                 1.0495,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.0642,                0.69649,                 1.0889,                0.90709,                0.88377,                0.90052,                0.64934,                0.95057,                0.77074,                  1.033,              0.0012874,              0.0012874,              0.0012874
                     48,                  1.041,                0.69748,                 1.0776,                0.95243,                0.86583,                0.91761,                0.65883,                0.98228,                0.69549,                  1.042,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.0631,                 0.6766,                  1.079,                 0.8925,                0.91957,                0.90394,                0.65805,                0.94631,                0.71184,                 1.0446,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.0351,                0.67587,                 1.0674,                0.92149,                0.88161,                0.91227,                0.65972,                0.93691,                0.69043,                 1.0283,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.0469,                0.67083,                 1.0719,                0.94529,                0.84451,                0.92092,                0.66623,                0.96558,                0.74077,                 1.0102,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.0408,                0.67658,                 1.0722,                0.87425,                 0.9121,                0.91044,                0.67187,                0.94507,                0.71448,                 1.0175,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.0489,                0.66493,                 1.0736,                0.91825,                0.88492,                0.91204,                0.64092,                 1.0111,                0.71962,                 1.0666,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.0409,                0.66167,                 1.0721,                0.92793,                0.87742,                0.92948,                0.67947,                0.95726,                0.66856,                 1.0373,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.0384,                0.65203,                 1.0673,                0.91964,                0.90013,                0.91399,                0.66893,                0.94226,                0.68756,                 1.0236,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.0212,                0.63658,                  1.062,                0.92812,                0.86203,                0.90944,                0.66869,                0.94396,                0.69457,                 1.0323,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.0254,                0.63731,                 1.0653,                 0.9001,                0.84061,                0.91088,                0.65552,                0.96827,                0.77233,                 1.0337,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.0143,                0.64926,                 1.0581,                0.93487,                0.84448,                0.90469,                0.66645,                0.94176,                0.71613,                 1.0286,              0.0011967,              0.0011967,              0.0011967
                     59,                  1.012,                0.63231,                 1.0519,                0.92938,                0.88059,                0.92515,                0.68105,                0.95042,                0.63816,                 1.0233,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.0179,                0.63328,                 1.0562,                0.92378,                0.88238,                0.92198,                0.66778,                0.96439,                0.71106,                 1.0135,              0.0011802,              0.0011802,              0.0011802
                     61,                  1.013,                0.63933,                 1.0591,                0.92071,                 0.8956,                0.91219,                0.65938,                0.95723,                0.65404,                 1.0257,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.0044,                0.62121,                 1.0622,                0.94225,                0.87765,                0.91282,                0.67669,                0.96702,                0.66561,                 1.0321,              0.0011636,              0.0011636,              0.0011636
                     63,                0.99448,                0.62015,                 1.0462,                0.91786,                0.89286,                0.90507,                0.67148,                0.92983,                0.67798,                 1.0275,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.0023,                0.62759,                 1.0538,                 0.8892,                0.90261,                0.90203,                0.66042,                0.93403,                0.69316,                 1.0091,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.0203,                 0.6254,                 1.0563,                  0.942,                0.87594,                0.91684,                0.68115,                0.92079,                0.67355,                0.99847,              0.0011389,              0.0011389,              0.0011389
                     66,                 0.9817,                0.61579,                 1.0443,                0.95408,                0.85119,                0.91877,                0.67712,                0.94286,                0.70984,                 1.0072,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.0077,                0.64843,                 1.0507,                0.93291,                0.86942,                0.90916,                0.67039,                0.94649,                0.66057,                 1.0229,              0.0011224,              0.0011224,              0.0011224
                     68,                0.98076,                0.60583,                 1.0385,                0.90617,                0.88417,                0.90942,                0.67616,                0.92428,                0.68152,                0.98191,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.0039,                0.61604,                 1.0445,                0.90078,                0.88029,                0.91585,                0.66443,                0.98124,                0.65419,                  1.037,              0.0011059,              0.0011059,              0.0011059
                     70,                 0.9661,                0.59356,                 1.0366,                0.90471,                0.89432,                0.91362,                0.67447,                 0.9612,                 0.7021,                 1.0178,              0.0010976,              0.0010976,              0.0010976
                     71,                0.98137,                0.59057,                 1.0259,                0.93989,                0.87566,                0.91476,                0.69019,                0.95426,                0.66932,                 1.0168,              0.0010894,              0.0010894,              0.0010894
